Step,Action_V,Action_W,Root_Value,Tree_Size,Max_Depth,Dist_To_Goal,Search_Time_sec,Exec_Time_sec,Num_Expansions,PhysX_Ticks,Decisions_Per_Sec
1,0.0,-0.5,-3.062,241,2,2.752,0.697605,0.03432,16,255,1.3658
2,0.0,1.0,-0.1681,571,3,2.7519,1.317233,0.03206,38,585,0.9607
3,0.0,0.0,-2.9777,241,2,2.7519,0.547578,0.032417,16,255,1.1268
4,0.5,0.0,-2.8228,241,2,2.7539,0.547232,0.032667,16,255,1.2336
5,0.5,0.5,-2.3548,466,3,2.7555,1.069244,0.033152,31,480,1.1506
6,0.5,-1.0,-2.9808,241,2,2.7568,0.550291,0.033441,16,255,1.2172
7,0.0,1.0,-3.1669,241,2,2.7564,0.552611,0.033909,16,255,1.2689
8,0.5,0.5,-2.1728,466,3,2.759,1.069855,0.033763,31,480,1.2084
9,0.5,-0.5,-1.4738,586,4,2.7616,1.348947,0.033841,39,600,1.1245
10,0.5,0.0,-1.4077,586,3,2.7621,1.349684,0.033075,39,600,1.0653
11,0.5,0.5,-1.1254,571,3,2.7627,1.30724,0.033391,38,585,1.0253
12,1.0,0.5,-3.0872,241,2,2.7686,0.547941,0.033722,16,255,1.061
13,0.5,0.0,-2.1843,466,3,2.7699,1.066198,0.033115,31,480,1.0475
14,0.0,-0.5,-3.0973,241,2,2.7699,0.54647,0.033509,16,255,1.0777
15,0.0,0.5,-1.4893,586,4,2.7698,1.332498,0.032895,39,600,1.0449
16,1.0,1.0,-3.2945,241,2,2.773,0.547872,0.033349,16,255,1.0711
17,0.0,0.0,-1.4804,601,4,2.7729,1.389924,0.033486,40,615,1.039
18,0.0,0.5,-0.9692,481,4,2.7726,1.103248,0.033549,32,495,1.0286
19,1.0,0.0,-3.1397,241,2,2.7812,0.550324,0.034037,16,255,1.0507
20,1.0,0.5,-2.9996,241,2,2.7853,0.550968,0.033443,16,255,1.0713
21,0.0,0.0,-3.2409,241,2,2.7852,0.548798,0.033074,16,255,1.0909
22,1.0,-0.5,-2.3973,466,3,2.7917,1.083073,0.034327,31,480,1.0801
23,1.0,-1.0,-2.3867,466,3,2.7951,1.085549,0.033822,31,480,1.0703
24,0.0,0.5,-1.493,541,4,2.7952,1.247098,0.03315,36,555,1.0541
25,0.5,1.0,-0.982,481,4,2.7953,1.10549,0.033643,32,495,1.0456
26,1.0,-1.0,-2.3766,466,3,2.8009,1.103733,0.033939,31,480,1.0381
27,0.5,0.5,-1.2632,571,4,2.8019,1.323982,0.033511,38,585,1.0225
28,0.0,0.0,-3.2365,241,2,2.8018,0.55666,0.033198,16,255,1.0372
29,0.0,1.0,-2.9527,241,2,2.8023,0.558066,0.033626,16,255,1.0512
30,0.5,1.0,-0.133,526,3,2.8023,1.222593,0.033292,35,540,1.0401
31,0.0,1.0,-3.247,241,2,2.8024,0.554003,0.03327,16,255,1.0533
32,0.5,-0.5,-2.3646,466,3,2.8038,1.075662,0.033524,31,480,1.0478
33,1.0,-1.0,-2.2854,466,3,2.8085,1.090641,0.035491,31,480,1.0421
34,1.0,1.0,-2.4969,466,3,2.8102,1.101082,0.033583,31,480,1.0365
35,0.0,1.0,-1.6397,661,3,2.8105,1.546152,0.03364,44,675,1.018
36,0.0,1.0,-3.0075,241,2,2.8107,0.555466,0.033518,16,255,1.0294
37,1.0,0.5,-1.5378,601,3,2.8136,1.394933,0.03427,40,615,1.0164
38,1.0,-1.0,-2.2927,466,3,2.8155,1.104608,0.034356,31,480,1.0122
39,0.5,0.0,-2.3195,466,3,2.816,1.080965,0.033463,31,480,1.0089
40,0.5,0.5,-1.2537,541,4,2.8163,1.260717,0.033414,36,555,1.0012
41,1.0,0.5,-3.191,241,2,2.8167,0.557591,0.033807,16,255,1.0113
42,0.0,0.0,-1.1033,571,3,2.8168,1.332415,0.03364,38,585,1.0022
43,0.5,0.0,-3.199,241,2,2.8167,0.558829,0.033347,16,255,1.0117
44,1.0,0.5,-3.182,241,2,2.8174,0.56114,0.034004,16,255,1.021
45,1.0,0.5,-1.569,556,4,2.8177,1.316633,0.033563,37,570,1.0124
46,0.5,0.5,-3.2786,241,2,2.8178,0.556708,0.033181,16,255,1.0214
47,0.5,0.0,-1.4574,586,4,2.8179,1.383158,0.033309,39,600,1.0117
48,1.0,1.0,-3.183,241,2,2.8188,0.561091,0.033656,16,255,1.0202
49,0.5,0.0,-2.3883,466,3,2.8189,1.120078,0.033678,31,480,1.0165
50,0.0,0.5,-1.3956,646,3,2.8187,1.553579,0.033523,43,660,1.0042
